,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,TOTAL
Total PPP,1.0,1.67,0.0,N/A,0.0,1.31,1.09,1.39,N/A,N/A,N/A,2.0,1.14
% of Poss.,5.1%,7.7%,2.6%,0.0%,10.3%,48.7%,12.8%,10.3%,0.0%,0.0%,0.0%,2.6%,39
Total FG%,50.0%,66.7%,0.0%,N/A,0.0%,58.3%,0.0%,100.0%,N/A,N/A,N/A,100.0%,48.0%
Shooting PPP,1.0,1.5,0.0,N/A,0.0,1.38,2.27,1.39,N/A,N/A,N/A,2.0,1.16
% of Shooting Poss.,6.2%,6.2%,3.1%,0.0%,12.5%,50.0%,6.2%,12.5%,0.0%,0.0%,0.0%,3.1%,82.1% | 22
Shooting FG%,50.0%,50.0%,0.0%,N/A,0.0%,54.5%,N/A,100.0%,N/A,N/A,N/A,100.0%,45.5%
Shooting 2pt Att.,2,1,1,0,4,5,0,1,0,0,0,1,15
Shooting 2pt FG%,50.0%,0.0%,0.0%,N/A,0.0%,80.0%,N/A,100.0%,N/A,N/A,N/A,100.0%,46.7%
Shooting 3pt Att.,0,1,0,0,0,6,0,0,0,0,0,0,7
Shooting 3pt FG%,N/A,100.0%,N/A,N/A,N/A,33.3%,N/A,N/A,N/A,N/A,N/A,N/A,42.9%
Passing PPP,N/A,2.0,N/A,N/A,N/A,1.0,0.53,N/A,N/A,N/A,N/A,N/A,1.02
% of Passing Poss.,0.0%,14.3%,0.0%,0.0%,0.0%,42.9%,42.9%,0.0%,0.0%,0.0%,0.0%,0.0%,17.9% | 3
Passing FG%,N/A,100.0%,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,66.7%
Passing 2pt Att.,0,1,0,0,0,0,0,0,0,0,0,0,1
Passing 2pt FG%,N/A,100.0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100.0%
Passing 3pt Att.,0,0,0,0,0,1,1,0,0,0,0,0,2
Passing 3pt FG%,N/A,N/A,N/A,N/A,N/A,100.0%,0.0%,N/A,N/A,N/A,N/A,N/A,50.0%
