,EMBIID,REED,NIANG,TUCKER,OTHERS,ISO,TRAN,ACO,C/S,OBS,CUT,OREB,PNR,TOTAL
Total PPP,1.11,N/A,N/A,1.29,0.0,0.85,1.45,3.0,0.0,N/A,N/A,2.0,0.91,1.03
% of Poss.,20.3%,0.0%,0.0%,10.9%,4.7%,32.8%,21.9%,3.1%,3.1%,0.0%,0.0%,3.1%,35.9%,64
Total FG%,66.7%,N/A,N/A,0.0%,0.0%,14.3%,80.0%,100.0%,0.0%,N/A,N/A,100.0%,40.0%,42.3%
Shooting PPP,0.0,N/A,N/A,2.27,0.0,1.18,1.33,3.0,0.0,N/A,N/A,2.0,0.69,1.11
% of Shooting Poss.,2.6%,0.0%,0.0%,15.8%,5.3%,47.4%,13.2%,5.3%,5.3%,0.0%,0.0%,5.3%,39.1% | 3,59.4% | 15
Shooting FG%,0.0%,N/A,N/A,N/A,0.0%,20.0%,66.7%,100.0%,0.0%,N/A,N/A,100.0%,0.0%,33.3%
Shooting 2pt Att.,0,0,0,0,1,2,3,0,0,0,0,1,1,7
Shooting 2pt FG%,N/A,N/A,N/A,N/A,0.0%,0.0%,66.7%,N/A,N/A,N/A,N/A,100.0%,0.0%,42.9%
Shooting 3pt Att.,1,0,0,0,1,3,0,1,2,0,0,0,2,8
Shooting 3pt FG%,0.0%,N/A,N/A,N/A,0.0%,33.3%,N/A,100.0%,0.0%,N/A,N/A,N/A,0.0%,25.0%
Passing PPP,1.25,N/A,N/A,0.0,0.0,0.0,1.55,N/A,N/A,N/A,N/A,N/A,1.0,0.95
% of Passing Poss.,46.2%,0.0%,0.0%,3.8%,3.8%,11.5%,34.6%,0.0%,0.0%,0.0%,0.0%,0.0%,60.9% | 7,40.6% | 11
Passing FG%,80.0%,N/A,N/A,0.0%,0.0%,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,57.1%,54.5%
Passing 2pt Att.,3,0,0,1,0,1,2,0,0,0,0,0,4,7
Passing 2pt FG%,66.7%,N/A,N/A,0.0%,N/A,0.0%,100.0%,N/A,N/A,N/A,N/A,N/A,50.0%,57.1%
Passing 3pt Att.,2,0,0,0,1,1,0,0,0,0,0,0,3,4
Passing 3pt FG%,100.0%,N/A,N/A,N/A,0.0%,0.0%,N/A,N/A,N/A,N/A,N/A,N/A,66.7%,50.0%
