,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,0.86,3.3%,1,50.0%,0.8,3.2%,1,50.0%,3,66.7%,1,0.0%,1.0,3.9%,0,50.0%,2,50.0%,0,N/A
JACKSON,0.61,4.7%,0,22.2%,0.87,4.4%,0,33.3%,5,40.0%,1,0.0%,0.0,5.9%,0,0.0%,0,N/A,3,0.0%
CLARKE,1.01,4.2%,0,37.5%,1.02,3.7%,0,40.0%,5,40.0%,0,N/A,1.0,5.9%,0,33.3%,0,N/A,3,33.3%
TILLMAN,1.26,9.1%,0,52.6%,0.89,5.7%,0,33.3%,4,25.0%,5,40.0%,1.6,19.6%,0,70.0%,7,71.4%,3,66.7%
OTHERS,1.03,1.9%,0,33.3%,1.03,2.5%,0,33.3%,1,100.0%,2,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,1.14,10.1%,3,53.3%,1.01,11.9%,3,50.0%,9,55.6%,5,40.0%,2.16,4.5%,0,100.0%,1,100.0%,0,N/A
Transition,1.18,23.1%,3,48.8%,1.31,24.2%,2,52.9%,21,42.9%,13,69.2%,0.7,19.6%,1,33.3%,3,66.7%,6,16.7%
Attacking Closeouts,1.09,20.2%,5,43.8%,1.15,19.3%,3,45.8%,16,43.8%,8,50.0%,0.94,23.1%,2,37.5%,0,N/A,8,37.5%
Catch & Shoot,1.05,9.6%,0,35.0%,1.05,12.7%,0,35.0%,0,N/A,20,35.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,0.74,11.6%,5,33.3%,1.04,11.0%,5,54.5%,3,100.0%,8,37.5%,0.0,13.7%,0,0.0%,2,0.0%,5,0.0%
Cutting,2.0,0.5%,0,100.0%,2.0,0.6%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,0.0,1.9%,0,0.0%,0.0,1.3%,0,0.0%,0,N/A,2,0.0%,0.0,3.9%,0,0.0%,0,N/A,2,0.0%
PNR / DHO,1.02,23.0%,1,42.2%,0.93,62.5%,1,37.0%,18,44.4%,9,22.2%,1,37.5%,0,50.0%,9,66.7%,9,33.3%
TOTAL,1.04,209,17,42.7%,1.09,75.6%,14,45.1%,68,48.5%,65,41.5%,0.86,24.4%,3,35.6%,15,60.0%,30,23.3%
