,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
JACKSON,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
CLARKE,2.0,5.4%,0,100.0%,2.0,3.4%,0,100.0%,1,100.0%,0,N/A,2.0,12.5%,0,100.0%,1,100.0%,0,N/A
TILLMAN,0.8,13.5%,0,40.0%,0.5,13.8%,0,25.0%,4,25.0%,0,N/A,2.0,12.5%,0,100.0%,1,100.0%,0,N/A
OTHERS,3.0,2.7%,0,100.0%,3.0,3.4%,0,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
ISO,0.4,27.0%,2,25.0%,0.44,31.0%,1,25.0%,4,50.0%,4,0.0%,0.0,12.5%,1,N/A,0,N/A,0,N/A
Transition,0.0,10.8%,0,0.0%,0.0,3.4%,0,0.0%,0,N/A,1,0.0%,0.0,37.5%,0,0.0%,0,N/A,3,0.0%
Attacking Closeouts,0.67,16.2%,1,40.0%,0.8,17.2%,1,50.0%,3,66.7%,1,0.0%,0.0,12.5%,0,0.0%,1,0.0%,0,N/A
Catch & Shoot,1.8,13.5%,0,60.0%,1.8,17.2%,0,60.0%,0,N/A,5,60.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,1.74,7.8%,1,100.0%,1.74,9.9%,1,100.0%,0,N/A,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,2.13,5.1%,0,100.0%,2.27,3.0%,0,N/A,0,N/A,0,N/A,2.0,12.5%,0,100.0%,1,100.0%,0,N/A
PNR / DHO,1.38,21.6%,0,62.5%,1.17,75.0%,0,50.0%,5,40.0%,1,100.0%,2,25.0%,0,100.0%,2,100.0%,0,N/A
TOTAL,0.98,37,4,43.8%,1.04,78.4%,3,44.0%,12,50.0%,13,38.5%,0.75,21.6%,1,42.9%,4,75.0%,3,0.0%
