,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
MORANT,1.39,6.3%,0,50.0%,1.39,7.2%,0,50.0%,1,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
BANE,0.0,4.3%,0,0.0%,0.0,2.5%,0,0.0%,0,N/A,1,0.0%,0.0,16.7%,0,0.0%,0,N/A,1,0.0%
JONES,1.33,6.5%,0,66.7%,1.33,7.5%,0,66.7%,2,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
BROOKS,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
OTHERS,1.06,4.1%,0,0.0%,2.27,2.2%,0,N/A,0,N/A,0,N/A,0.0,16.7%,0,0.0%,1,0.0%,0,N/A
ISO,0.73,29.9%,2,30.0%,0.82,24.4%,0,25.0%,8,25.0%,0,N/A,0.5,66.7%,2,50.0%,1,100.0%,1,0.0%
Transition,0.0,4.3%,0,0.0%,0.0,5.0%,0,0.0%,2,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Attacking Closeouts,1.39,12.5%,0,50.0%,1.39,14.4%,0,50.0%,3,33.3%,1,100.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Catch & Shoot,0.38,17.4%,0,12.5%,0.38,20.0%,0,12.5%,0,N/A,8,12.5%,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off Ball Screens,2.05,5.3%,0,100.0%,2.05,6.1%,0,100.0%,2,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,1.33,6.5%,0,66.7%,1.33,7.5%,0,66.7%,3,66.7%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.0,4.3%,0,50.0%,1.0,5.0%,0,50.0%,1,100.0%,1,0.0%,N/A,0.0%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.11,19.6%,0,37.5%,1.43,77.8%,0,50.0%,3,100.0%,3,0.0%,0,22.2%,0,0.0%,1,0.0%,1,0.0%
TOTAL,0.9,46,2,35.9%,0.98,87.0%,0,37.1%,22,50.0%,13,15.4%,0.33,13.0%,2,25.0%,2,50.0%,2,0.0%
