,Total PPP,% of Poss.,Total TO,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting TO,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing TO,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ADAMS,1.17,10.2%,1,47.6%,1.17,10.8%,1,50.0%,12,58.3%,4,25.0%,1.19,8.5%,0,40.0%,1,0.0%,4,50.0%
JACKSON,1.68,1.8%,0,66.7%,2.13,1.0%,0,100.0%,1,100.0%,0,N/A,1.39,4.2%,0,50.0%,1,100.0%,1,0.0%
CLARKE,1.01,9.5%,1,42.9%,0.89,7.7%,0,33.3%,10,40.0%,2,0.0%,1.2,14.5%,1,55.6%,5,60.0%,4,50.0%
TILLMAN,0.77,17.1%,2,31.6%,0.66,16.1%,2,24.0%,23,26.1%,2,0.0%,1.01,20.1%,0,46.2%,6,83.3%,7,14.3%
OTHERS,1.55,5.0%,0,66.7%,1.13,4.7%,0,50.0%,8,50.0%,0,N/A,2.5,5.8%,0,100.0%,2,100.0%,2,100.0%
ISO,1.14,28.7%,6,54.4%,1.06,32.9%,5,50.0%,35,54.3%,11,36.4%,1.58,17.4%,1,72.7%,6,83.3%,5,60.0%
Transition,1.13,19.1%,5,57.5%,1.23,17.1%,2,61.5%,22,72.7%,4,0.0%,0.94,24.6%,3,50.0%,7,71.4%,7,28.6%
Attacking Closeouts,0.29,2.7%,0,0.0%,0.41,2.6%,0,0.0%,4,0.0%,0,N/A,0.0,2.9%,0,0.0%,1,0.0%,1,0.0%
Catch & Shoot,1.43,5.4%,0,50.0%,1.38,6.8%,0,46.2%,0,N/A,13,46.2%,2.0,1.4%,0,100.0%,1,100.0%,0,N/A
Off Ball Screens,N/A,0.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Cutting,2.0,0.4%,0,100.0%,2.0,0.5%,0,100.0%,1,100.0%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A
Off. Rebounds,1.14,0.3%,0,N/A,N/A,0.0%,0,N/A,0,N/A,0,N/A,1.14,1.3%,0,N/A,0,N/A,0,N/A
PNR / DHO,1.05,43.2%,4,43.2%,0.93,67.9%,3,37.1%,54,40.7%,8,12.5%,1,32.1%,1,54.5%,15,73.3%,18,38.9%
TOTAL,1.09,259,15,48.4%,1.05,73.4%,10,45.4%,116,50.0%,36,30.6%,1.22,26.6%,5,55.7%,30,73.3%,31,38.7%
