,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
HORFORD,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,0.71,43.8%,33.3%,0.4,35.7%,20.0%,5,20.0%,0,N/A,1.5,100.0%,100.0%,0,N/A,1,100.0%
ISO,1.0,12.5%,50.0%,1.0,14.3%,50.0%,1,100.0%,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,0.0,12.5%,0.0%,0.0,14.3%,0.0%,0,N/A,1,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Attacking Closeouts,0.0,6.2%,N/A,0.0,7.1%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Catch & Shoot,1.0,18.8%,33.3%,1.0,21.4%,33.3%,0,N/A,3,33.3%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,6.2%,100.0%,2.0,7.1%,100.0%,1,100.0%,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
PNR / DHO,0.71,43.8%,33.3%,0.4,71.4%,20.0%,5,20.0%,0,N/A,2,28.6%,100.0%,0,N/A,1,100.0%
TOTAL,0.75,16,38.5%,0.64,87.5%,33.3%,7,42.9%,5,20.0%,1.5,12.5%,100.0%,0,nan%,1,100.0%
