,Total PPP,% of Poss.,Total FG%,Shooting PPP,% of Shooting Poss.,Shooting FG%,Shooting 2pt Att.,Shooting 2pt FG%,Shooting 3pt Att.,Shooting 3pt FG%,Passing PPP,% of Passing Poss.,Passing FG%,Passing 2pt Att.,Passing 2pt FG%,Passing 3pt Att.,Passing 3pt FG%
ROB,2.0,9.1%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,16.7%,100.0%,1,100.0%,0,N/A
HORFORD,3.0,18.2%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,3.0,33.3%,100.0%,0,N/A,2,100.0%
GRANT,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
TATUM,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
OTHERS,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
ISO,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Transition,2.0,27.3%,100.0%,2.0,40.0%,100.0%,2,100.0%,0,N/A,2.0,16.7%,100.0%,1,100.0%,0,N/A
Attacking Closeouts,0.0,18.2%,0.0%,0.0,20.0%,0.0%,1,0.0%,0,N/A,0.0,16.7%,0.0%,0,N/A,1,0.0%
Catch & Shoot,0.0,18.2%,0.0%,0.0,40.0%,0.0%,0,N/A,2,0.0%,N/A,0.0%,N/A,0,N/A,0,N/A
Off Ball Screens,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Cutting,N/A,0.0%,N/A,N/A,0.0%,N/A,0,N/A,0,N/A,N/A,0.0%,N/A,0,N/A,0,N/A
Off. Rebounds,2.0,9.1%,100.0%,N/A,0.0%,N/A,0,N/A,0,N/A,2.0,16.7%,100.0%,1,100.0%,0,N/A
PNR / DHO,2.67,27.3%,100.0%,N/A,0.0%,nan%,0,nan%,0,N/A,3,100.0%,100.0%,1,100.0%,2,100.0%
TOTAL,1.45,11,63.6%,0.8,45.5%,40.0%,3,66.7%,2,0.0%,2.0,54.5%,83.3%,3,100.0%,3,66.7%
